county,precinct,absenteePrecinct,score
BERRIEN,1642,"1642",100.00
BERRIEN,1157,"1157",100.00
BERRIEN,518,"518",100.00
BERRIEN,1144,"1144",100.00
BERRIEN,11062,"11062",100.00
COBB,KE5A,"KE5A",100.00
COBB,SN3A,"SN3A",100.00
COBB,BG01,"BG01",100.00
COBB,MR5B,"MR5B",100.00
COBB,SN2A,"SN2A",100.00
COBB,CH03,"CH03",100.00
COBB,PE01,"PE01",100.00
COBB,PP01,"PP01",100.00
COBB,CH02,"CH02",100.00
COBB,DO01,"DO01",100.00
COBB,MR2B,"MR2B",100.00
COBB,CK01,"CK01",100.00
COBB,HL01,"HL01",100.00
COBB,MR3B,"MR3B",100.00
COBB,MK01,"MK01",100.00
COBB,SN3B,"SN3B",100.00
COBB,OK01,"OK01",100.00
COBB,AD01,"AD01",100.00
COBB,SN7A,"SN7A",100.00
COBB,MS01,"MS01",100.00
COBB,BG02,"BG02",100.00
COBB,EA01,"EA01",100.00
COBB,LM02,"LM02",100.00
COBB,FP01,"FP01",100.00
COBB,SO01,"SO01",100.00
COBB,CL02,"CL02",100.00
COBB,KP02,"KP02",100.00
COBB,RS01,"RS01",100.00
COBB,MR4C,"MR4C",100.00
COBB,MR5A,"MR5A",100.00
COBB,WG02,"WG02",100.00
COBB,PS3A,"PS3A",100.00
COBB,SW01,"SW01",100.00
COBB,FO04,"FO04",100.00
COBB,KE3A,"KE3A",100.00
COBB,OR02,"OR02",100.00
COBB,CL01,"CL01",100.00
COBB,MT04,"MT04",100.00
COBB,TR01,"TR01",100.00
COBB,AC1B,"AC1B",100.00
COBB,VG01,"VG01",100.00
COBB,LA01,"LA01",100.00
COBB,MD01,"MD01",100.00
COBB,FY01,"FY01",100.00
COBB,MT03,"MT03",100.00
COBB,CO01,"CO01",100.00
COBB,PM01,"PM01",100.00
COBB,SN4A,"SN4A",100.00
COBB,FR01,"FR01",100.00
COBB,MA01,"MA01",100.00
COBB,TM01,"TM01",100.00
COBB,SN6A,"SN6A",100.00
COBB,PS2A,"PS2A",100.00
COBB,AC1A,"AC1A",100.00
COBB,MA04,"MA04",100.00
COBB,ME01,"ME01",100.00
COBB,EL04,"EL04",100.00
COBB,HT01,"HT01",100.00
COBB,HR01,"HR01",100.00
COBB,SN5A,"SN5A",100.00
COBB,BK01,"BK01",100.00
COBB,KE2A,"KE2A",100.00
COBB,MB01,"MB01",100.00
COBB,OR05,"OR05",100.00
COBB,MC01,"MC01",100.00
COBB,PF01,"PF01",100.00
COBB,LM04,"LM04",100.00
COBB,MR6A,"MR6A",100.00
COBB,AU1A,"AU1A",100.00
COBB,AC1C,"AC1C",100.00
COBB,EA02,"EA02",100.00
COBB,EL03,"EL03",100.00
COBB,EL05,"EL05",100.00
COBB,HY01,"HY01",100.00
COBB,LM03,"LM03",100.00
COBB,PM02,"PM02",100.00
COBB,RW01,"RW01",100.00
COBB,DC01,"DC01",100.00
COBB,VA01,"VA01",100.00
COBB,CR01,"CR01",100.00
COBB,BF03,"BF03",100.00
COBB,MS02,"MS02",100.00
COBB,GM01,"GM01",100.00
COBB,ML01,"ML01",100.00
COBB,NC01,"NC01",100.00
COBB,RW02,"RW02",100.00
COBB,SO02,"SO02",100.00
COBB,MR3A,"MR3A",100.00
COBB,EL02,"EL02",100.00
COBB,KE4A,"KE4A",100.00
COBB,SI01,"SI01",100.00
COBB,MR2A,"MR2A",100.00
COBB,MT01,"MT01",100.00
COBB,BF02,"BF02",100.00
COBB,MR4B,"MR4B",100.00
COBB,KP03,"KP03",100.00
COBB,NJ01,"NJ01",100.00
COBB,GT01,"GT01",100.00
COBB,BR02,"BR02",100.00
COBB,DI02,"DI02",100.00
COBB,SN1A,"SN1A",100.00
COBB,MA02,"MA02",100.00
COBB,MR4A,"MR4A",100.00
COBB,OR01,"OR01",100.00
COBB,LM01,"LM01",100.00
COBB,SM01,"SM01",100.00
COBB,BR01,"BR01",100.00
COBB,CA01,"CA01",100.00
COBB,BF04,"BF04",100.00
COBB,DI01,"DI01",100.00
COBB,EL01,"EL01",100.00
COBB,SW02,"SW02",100.00
COBB,BW01,"BW01",100.00
COBB,SO03,"SO03",100.00
COBB,SF01,"SF01",100.00
COBB,VG02,"VG02",100.00
COBB,PS1A,"PS1A",100.00
COBB,MR1A,"MR1A",100.00
COBB,MA03,"MA03",100.00
COBB,DV01,"DV01",100.00
COBB,OR03,"OR03",100.00
COBB,KL01,"KL01",100.00
COBB,VG04,"VG04",100.00
COBB,EP01,"EP01",100.00
COBB,WL01,"WL01",100.00
COBB,PT01,"PT01",100.00
COBB,SA01,"SA01",100.00
COBB,DU01,"DU01",100.00
COBB,KE1A,"KE1A",100.00
COBB,NS01,"NS01",100.00
COBB,PO01,"PO01",100.00
COBB,PR01,"PR01",100.00
COBB,BT01,"BT01",100.00
COBB,MR7A,"MR7A",100.00
COBB,MR6B,"MR6B",100.00
COBB,SM03,"SM03",100.00
COBB,FO02,"FO02",100.00
COBB,DL01,"DL01",100.00
COBB,LI01,"LI01",100.00
COBB,RM01,"RM01",100.00
COBB,VG03,"VG03",100.00
COBB,KP01,"KP01",100.00
COBB,OR04,"OR04",100.00
COBB,BT02,"BT02",100.00
COBB,NP01,"NP01",100.00
COFFEE,2,"2",100.00
COFFEE,4,"4",100.00
COFFEE,1,"1",100.00
COFFEE,3,"3",100.00
COFFEE,6,"6",100.00
COFFEE,5,"5",100.00
CRAWFORD,5,"5",100.00
CRAWFORD,4,"4",100.00
CRAWFORD,3,"3",100.00
CRAWFORD,1A,"1",90.00
CRAWFORD,2,"2",100.00
FAYETTE,35,"35",100.00
FAYETTE,28,"28",100.00
FAYETTE,08,"08",100.00
FAYETTE,01,"01",100.00
FAYETTE,22,"22",100.00
FAYETTE,30,"30",100.00
FAYETTE,15,"15",100.00
FAYETTE,27,"27",100.00
FAYETTE,09,"09",100.00
FAYETTE,24,"24",100.00
FAYETTE,31,"31",100.00
FAYETTE,34,"34",100.00
FAYETTE,29,"29",100.00
FAYETTE,26,"26",100.00
FAYETTE,19,"19",100.00
FAYETTE,06,"06",100.00
FAYETTE,21,"21",100.00
FAYETTE,05,"05",100.00
FAYETTE,04,"04",100.00
FAYETTE,14,"14",100.00
FAYETTE,25,"25",100.00
FAYETTE,12,"12",100.00
FAYETTE,18,"18",100.00
FAYETTE,02,"02",100.00
FAYETTE,07,"07",100.00
FAYETTE,13,"13",100.00
FAYETTE,23,"23",100.00
FAYETTE,03,"03",100.00
FAYETTE,20,"20",100.00
FAYETTE,36,"36",100.00
FAYETTE,33,"33",100.00
FAYETTE,16,"16",100.00
FAYETTE,32,"32",100.00
FAYETTE,17,"17",100.00
FAYETTE,10,"10",100.00
FAYETTE,11,"11",100.00
FULTON,SS29A,"SS29A",100.00
FULTON,08D,"08D",100.00
FULTON,AP12B,"AP12B",100.00
FULTON,06B,"CP06B",90.00
FULTON,EP02D,"EP02D",100.00
FULTON,SS19B,"SS19B",100.00
FULTON,JC03B,"JC03B",100.00
FULTON,06D1,"06D1",100.00
FULTON,AP07A,"AP07A",100.00
FULTON,HP01,"HP01",100.00
FULTON,ML02A,"ML02A",100.00
FULTON,SS15B,"SS15B",100.00
FULTON,SC20,"SC20",100.00
FULTON,11E2,"11E2",100.00
FULTON,CP081,"CP081",100.00
FULTON,EP02B,"EP02B",100.00
FULTON,JC01,"JC01",100.00
FULTON,ML04,"ML04",100.00
FULTON,CP06A,"CP06A",100.00
FULTON,AP01C,"AP01C",100.00
FULTON,02E,"UC02E",90.00
FULTON,01B,"01B",100.00
FULTON,12A1,"12A1",100.00
FULTON,AP14,"AP14",100.00
FULTON,04D,"04D",100.00
FULTON,08F1,"08F1",100.00
FULTON,04I,"04I",100.00
FULTON,01G,"01G",100.00
FULTON,07D,"07D",100.00
FULTON,09E,"09E",100.00
FULTON,10K,"10K",100.00
FULTON,11M,"11M",100.00
FULTON,JC12,"JC12",100.00
FULTON,09F,"09F",100.00
FULTON,08N2,"08N2",100.00
FULTON,AP02B,"AP02B",100.00
FULTON,AP14,"AP14A",89.00
FULTON,JC16,"JC16",100.00
FULTON,PA01,"PA01",100.00
FULTON,SS04,"SS04",100.00
FULTON,10D,"10D",100.00
FULTON,JC10,"JC10",100.00
FULTON,01T,"01T",100.00
FULTON,12F,"12F",100.00
FULTON,AP01B,"AP01B",100.00
FULTON,09K,"09K",100.00
FULTON,SC05D,"SC05D",100.00
FULTON,02D,"02D",100.00
FULTON,AP01D,"AP01D",100.00
FULTON,JC09,"JC09",100.00
FULTON,SC05E,"SC05E",100.00
FULTON,10D,"10D2",86.00
FULTON,11C,"11C2",86.00
FULTON,RW11A,"RW11A",100.00
FULTON,SC14A,"SC14A",100.00
FULTON,UC02B,"UC02B",100.00
FULTON,SC11A,"SC11A",100.00
FULTON,SC29A,"SC29A",100.00
FULTON,JC04B,"JC04B",100.00
FULTON,09C,"09C",100.00
FULTON,RW02,"RW02",100.00
FULTON,SC30A,"SC30A",100.00
FULTON,04G,"04G",100.00
FULTON,06B,"06B",100.00
FULTON,AP01A,"AP01A",100.00
FULTON,CP07D,"CP07D",100.00
FULTON,SC08D,"SC08D",100.00
FULTON,SC08G,"SC08G",100.00
FULTON,10P,"10P",100.00
FULTON,03P2,"03P2",100.00
FULTON,11H,"11H",100.00
FULTON,EP03A,"EP03A",100.00
FULTON,SC212,"SC212",100.00
FULTON,JC08,"JC08",100.00
FULTON,SS18A,"SS18A",100.00
FULTON,05D,"05D",100.00
FULTON,03H,"03H",100.00
FULTON,SS08B,"SS08B",100.00
FULTON,08B,"08B",100.00
FULTON,02A,"SC02A",90.00
FULTON,SS19A,"SS19A",100.00
FULTON,02W,"02W",100.00
FULTON,SC18B,"SC18B",100.00
FULTON,01C,"01C",100.00
FULTON,09D,"09D",100.00
FULTON,JC07,"JC07",100.00
FULTON,ML06B,"ML06B",100.00
FULTON,RW09,"RW09",100.00
FULTON,SC13,"SC13",100.00
FULTON,CP07B,"CP07B",100.00
FULTON,02L2,"02L2",100.00
FULTON,05C,"05C",100.00
FULTON,UC01E,"UC01E",100.00
FULTON,03D,"03D",100.00
FULTON,11B,"11B",100.00
FULTON,06F,"06F",100.00
FULTON,11B,"11B2",86.00
FULTON,SC30B,"SC30B",100.00
FULTON,01A,"01A",100.00
FULTON,02G,"02G",100.00
FULTON,RW13,"RW13",100.00
FULTON,SC07C,"SC07C",100.00
FULTON,SS01,"SS01",100.00
FULTON,SS02A,"SS02A",100.00
FULTON,07C,"07C",100.00
FULTON,01C,"EP01C",90.00
FULTON,05A2,"05A2",100.00
FULTON,06J,"06J",100.00
FULTON,12A,"12A",100.00
FULTON,ML03,"ML03",100.00
FULTON,03A,"RW03A",90.00
FULTON,11J,"11J",100.00
FULTON,MP01,"MP01",100.00
FULTON,SC08B,"SC08B",100.00
FULTON,03E,"03E",100.00
FULTON,04K,"04K",100.00
FULTON,CH05,"CH05",100.00
FULTON,EP01B,"EP01B",100.00
FULTON,12H2,"12H2",100.00
FULTON,AP05,"AP05",100.00
FULTON,UC031,"UC031",100.00
FULTON,03A,"SS03A",90.00
FULTON,03S,"03S",100.00
FULTON,SS09A,"SS09A",100.00
FULTON,02S,"02S",100.00
FULTON,07B,"07B",100.00
FULTON,CP083,"CP083",100.00
FULTON,SC09B,"SC09B",100.00
FULTON,04S,"04S",100.00
FULTON,08L,"08L",100.00
FULTON,FA01A,"FA01A",100.00
FULTON,SC17A,"SC17A",100.00
FULTON,SC18C,"SC18C",100.00
FULTON,JC13A,"JC13A",100.00
FULTON,JC19,"JC19",100.00
FULTON,RW12,"RW12",100.00
FULTON,11N,"11N",100.00
FULTON,EP04C,"EP04C",100.00
FULTON,SS07B,"SS07B",100.00
FULTON,08G,"08G",100.00
FULTON,AP03,"AP023",89.00
FULTON,AP09B,"AP09B",100.00
FULTON,CP011,"CP011",100.00
FULTON,SS02B,"SS02B",100.00
FULTON,UC01D,"UC01D",100.00
FULTON,02F2,"02F2",100.00
FULTON,SS05,"SS05",100.00
FULTON,07M,"07M",100.00
FULTON,EP02E,"EP02E",100.00
FULTON,SC19B,"SC19B",100.00
FULTON,RW16,"RW16",100.00
FULTON,10A,"RW10A",90.00
FULTON,03M,"03M",100.00
FULTON,10A,"10A",100.00
FULTON,SS17,"SS17",100.00
FULTON,01F,"01F",100.00
FULTON,10R,"10R",100.00
FULTON,CP07E,"CP07E",100.00
FULTON,EP04A,"EP04A",100.00
FULTON,02A1,"02A1",100.00
FULTON,10G,"10G",100.00
FULTON,AP03,"AP03",100.00
FULTON,ML01B,"ML01B",100.00
FULTON,SC23A,"SC23A",100.00
FULTON,SC15,"SC15",100.00
FULTON,09B,"09B",100.00
FULTON,RW03,"RW03",100.00
FULTON,08E,"08E",100.00
FULTON,11B1,"11B1",100.00
FULTON,JC04A,"JC04A",100.00
FULTON,07A,"07A1",86.00
FULTON,FA01D,"FA01D",100.00
FULTON,RW04,"RW04",100.00
FULTON,SS09B,"SS09B",100.00
FULTON,ML07A,"ML07A",100.00
FULTON,SC13,"SC13A",89.00
FULTON,01S,"01S",100.00
FULTON,09G,"09G",100.00
FULTON,CH02,"CH02",100.00
FULTON,01A,"SS01A",90.00
FULTON,04X2,"04X2",100.00
FULTON,AP06,"AP06",100.00
FULTON,UC01B,"UC01B",100.00
FULTON,06D2,"06D2",100.00
FULTON,SC16A,"SC16A",100.00
FULTON,FA01B,"FA01B",100.00
FULTON,SC10,"SC10",100.00
FULTON,08K,"08K",100.00
FULTON,AP022,"AP022",100.00
FULTON,04V,"04V",100.00
FULTON,12N,"12N",100.00
FULTON,ML02B,"ML02B",100.00
FULTON,ML07B,"ML07B",100.00
FULTON,EP03B,"EP03B",100.00
FULTON,04B,"04B",100.00
FULTON,12L,"12L",100.00
FULTON,AP12C,"AP12C",100.00
FULTON,RW19,"RW19",100.00
FULTON,04T,"04T",100.00
FULTON,06I,"06I",100.00
FULTON,11M1,"11M1",100.00
FULTON,CP01B,"CP01B",100.00
FULTON,EP02C,"EP02C",100.00
FULTON,SS11B,"SS11B",100.00
FULTON,06Q,"06Q",100.00
FULTON,JC05,"JC05",100.00
FULTON,06N,"06N",100.00
FULTON,07A,"07A",100.00
FULTON,05C,"CP05C",90.00
FULTON,RW05,"RW05",100.00
FULTON,05B,"05B",100.00
FULTON,09K1,"09K1",100.00
FULTON,12K,"12K",100.00
FULTON,11E3,"11E3",100.00
FULTON,FC02,"FC02",100.00
FULTON,09I,"09I",100.00
FULTON,RW17,"RW17",100.00
FULTON,SC01A,"SC01A",100.00
FULTON,SC08C,"SC08C",100.00
FULTON,RW05,"RW05A",89.00
FULTON,11R,"11R",100.00
FULTON,CH03,"CH03",100.00
FULTON,CP07C,"CP07C",100.00
FULTON,12D,"12D",100.00
FULTON,05A1,"05A1",100.00
FULTON,08A,"08A",100.00
FULTON,SC19A,"SC19A",100.00
FULTON,12G,"12G",100.00
FULTON,JC06,"JC06",100.00
FULTON,SC17C,"SC17C",100.00
FULTON,AP04A,"AP04A",100.00
FULTON,SS14,"SS14",100.00
FULTON,UC032,"UC032",100.00
FULTON,SC07A,"SC07A",100.00
FULTON,SS13B,"SS13B",100.00
FULTON,01H,"01H",100.00
FULTON,08C,"08C1",86.00
FULTON,RW07B,"RW07B",100.00
FULTON,SS22,"SS22",100.00
FULTON,11K,"11K",100.00
FULTON,12I,"12I",100.00
FULTON,SS18B,"SS18B",100.00
FULTON,SC08E,"SC08E",100.00
FULTON,AP09A,"AP09A",100.00
FULTON,SC05B,"SC05B",100.00
FULTON,09A,"09A",100.00
FULTON,07E,"SC07E",90.00
FULTON,06E,"06E",100.00
FULTON,10I,"10I",100.00
FULTON,SC23B,"SC23B",100.00
FULTON,02L1,"02L1",100.00
FULTON,07H,"07H",100.00
FULTON,08E,"SS08E",90.00
FULTON,03C,"03C",100.00
FULTON,06L2,"06L2",100.00
FULTON,10M,"10M",100.00
FULTON,CH01,"CH01",100.00
FULTON,03B,"RW03B",90.00
FULTON,RW20,"RW20",100.00
FULTON,SS06,"SS06",100.00
FULTON,SS20,"SS20",100.00
FULTON,02B,"02B",100.00
FULTON,07D,"07D1",86.00
FULTON,JC03A,"JC03A",100.00
FULTON,RW06,"RW06",100.00
FULTON,AP021,"AP021",100.00
FULTON,EP02A,"EP02A",100.00
FULTON,SS03,"SS03",100.00
FULTON,09M,"09M",100.00
FULTON,04A,"04A",100.00
FULTON,06G,"06G",100.00
FULTON,CP05B,"CP05B",100.00
FULTON,03P1A,"03P1A",100.00
FULTON,SS26,"SS26",100.00
FULTON,03I,"03I",100.00
FULTON,05J,"05J",100.00
FULTON,02J,"02J",100.00
FULTON,10H1,"10H1",100.00
FULTON,11P,"11P",100.00
FULTON,SS16,"SS16",100.00
FULTON,02E,"02E",100.00
FULTON,RW10,"RW10",100.00
FULTON,SS08C,"SS08C",100.00
FULTON,03G,"03G",100.00
FULTON,10J,"10J",100.00
FULTON,08C,"08C",100.00
FULTON,04A,"SS04A",90.00
FULTON,SS07C,"SS07C",100.00
FULTON,JC14,"JC14",100.00
FULTON,SC15A,"SC15A",100.00
FULTON,AP04B,"AP04B",100.00
FULTON,10B,"10B",100.00
FULTON,SC23C,"SC23C",100.00
FULTON,04W,"04W",100.00
FULTON,04X1,"04X1",100.00
FULTON,07E,"07E",100.00
FULTON,02C,"02C",100.00
FULTON,06R,"06R",100.00
FULTON,11C,"11C3",86.00
FULTON,12M,"12M",100.00
FULTON,RW12A,"RW12A",100.00
FULTON,10D,"10D1",86.00
FULTON,04C,"04C",100.00
FULTON,JC11,"JC11",100.00
FULTON,CH04A,"CH04A",100.00
FULTON,JC13B,"JC13B",100.00
FULTON,12E1,"12E1",100.00
FULTON,EP01A,"EP01A",100.00
FULTON,04J,"04J",100.00
FULTON,03A,"03A",100.00
FULTON,03B,"03B",100.00
FULTON,04F,"04F",100.00
FULTON,06D,"06D",100.00
FULTON,01R,"01R",100.00
FULTON,12H1,"12H1",100.00
FULTON,CP012,"CP012",100.00
FULTON,05K,"05K",100.00
FULTON,11C,"11C",100.00
FULTON,JC04C,"JC04C",100.00
FULTON,07D,"SS07D",90.00
FULTON,RW21,"RW21A",89.00
FULTON,02K,"02K",100.00
FULTON,10F,"10F",100.00
FULTON,AP12A,"AP12A",100.00
FULTON,RW09A,"RW09A",100.00
FULTON,ML01A,"ML01A",100.00
FULTON,SC02,"SC02",100.00
FULTON,12J,"12J",100.00
FULTON,SS11C,"SS11C",100.00
FULTON,02A,"02A",100.00
FULTON,02L1A,"02L1A",100.00
FULTON,RW07A,"RW07A",100.00
FULTON,05C,"SC05C",90.00
FULTON,01J,"01J",100.00
FULTON,RW08,"RW08",100.00
FULTON,UC01A,"UC01A",100.00
FULTON,08M,"08M",100.00
FULTON,JC02,"JC02",100.00
FULTON,06L1,"06L1",100.00
FULTON,10H2,"10H2",100.00
FULTON,CP07F,"CP07F",100.00
FULTON,05F,"05F",100.00
FULTON,07N,"07N",100.00
FULTON,JC18,"JC18",100.00
FULTON,SC211,"SC211",100.00
FULTON,SS15A,"SS15A",100.00
FULTON,ML03A,"ML03A",100.00
FULTON,ML06A,"ML06A",100.00
FULTON,SC01B,"SC01B",100.00
FULTON,SC09C,"SC09C",100.00
FULTON,04L,"04L",100.00
FULTON,11E1,"11E1",100.00
FULTON,SS08D,"SS08D",100.00
FULTON,SC08F,"SC08F",100.00
FULTON,04M,"04M",100.00
FULTON,JC15,"JC15",100.00
FULTON,08N1,"08N1",100.00
FULTON,01C,"ML01C",90.00
FULTON,SC18A,"SC18A",100.00
FULTON,UC02C,"UC02C",100.00
FULTON,03T,"03T",100.00
FULTON,SS07A,"SS07A",100.00
FULTON,03L,"03L",100.00
FULTON,CP02,"CP02",100.00
FULTON,07A,"CP07A",90.00
FULTON,SC27,"SC27",100.00
FULTON,01E,"01E",100.00
FULTON,07J,"07J",100.00
FULTON,SC07D,"SC07D",100.00
FULTON,12S,"12S",100.00
FULTON,ML05,"ML05",100.00
FULTON,SC05A,"SC05A",100.00
FULTON,08J,"SC08J",90.00
FULTON,02D,"UC02D",90.00
FULTON,CP08A,"CP08A",100.00
FULTON,01D,"01D",100.00
FULTON,RW21,"RW21",100.00
FULTON,SC04,"SC04",100.00
FULTON,01P,"01P",100.00
FULTON,10C,"10C",100.00
FULTON,RW01,"RW01",100.00
FULTON,AP10,"AP10",100.00
FULTON,04B,"CH04B",90.00
FULTON,JC01A,"JC01A",100.00
FULTON,SC11B,"SC11B",100.00
FULTON,UC02A,"UC02A",100.00
FULTON,CP04B,"CP04B",100.00
FULTON,07F,"07F",100.00
FULTON,08H,"08H",100.00
FULTON,10E,"10E",100.00
FULTON,SC09A,"SC09A",100.00
FULTON,SS31,"SS31",100.00
FULTON,FA01C,"FA01C",100.00
FULTON,03C,"RW03C",90.00
FULTON,SC01C,"SC01C",100.00
FULTON,SS08A,"SS08A",100.00
FULTON,SS11A,"SS11A",100.00
FULTON,AP07B,"AP07B",100.00
FULTON,07C,"AP07C",90.00
FULTON,08P,"08P",100.00
FULTON,CP051,"CP051",100.00
FULTON,08J,"08J",100.00
FULTON,SS12,"SS12",100.00
FULTON,09H,"09H",100.00
FULTON,JC19,"JC19A",89.00
FULTON,RW22A,"RW22A",100.00
FULTON,03F,"03F",100.00
FULTON,02F1,"02F1",100.00
FULTON,03N,"03N",100.00
FULTON,EP04B,"EP04B",100.00
FULTON,SS13A,"SS13A",100.00
FULTON,11G,"11G",100.00
FULTON,SS11D,"SS11D",100.00
SCREVEN,10,"10",100.00
SCREVEN,01,"01",100.00
SCREVEN,11,"11",100.00
SCREVEN,02,"02",100.00
SCREVEN,06,"06",100.00
SCREVEN,12,"12",100.00
SCREVEN,05,"05",100.00
SCREVEN,08,"08",100.00
SCREVEN,04,"04",100.00
SCREVEN,09,"09",100.00
SCREVEN,03,"03",100.00
SCREVEN,07,"07",100.00
TROUP,10,"10",100.00
TROUP,08,"08",100.00
TROUP,16,"16",100.00
TROUP,11,"11",100.00
TROUP,03,"03",100.00
TROUP,12,"12",100.00
TROUP,13,"13",100.00
TROUP,15,"15",100.00
TROUP,06,"06",100.00
TROUP,07,"07",100.00
TROUP,05,"05",100.00
TROUP,01,"01",100.00
TROUP,04,"04",100.00
TROUP,02,"02",100.00
