county,precinct,mapPrecinctName,electionResultsPrecinctName,score
BALDWIN,CTY5,TODO,West Thomas,85
BRYAN,1,TODO,Harn Community Center,85
BRYAN,2,TODO,Christ Baptist Church,85
BRYAN,3,TODO,Black Creek,85
BRYAN,4,TODO,First Baptist Church,85
BRYAN,5,TODO,RH Rec Complex,85
BRYAN,6,TODO,John Stevens Wetland Ctr,85
BRYAN,8,TODO,New Beginnings,85
BRYAN,9,TODO,Bryan County Admin Bldg,85
BRYAN,10,TODO,Danielsiding,85
BRYAN,7,TODO,New Life,85
COLUMBIA,108,TODO,ACS-Furys Ferry Rd Campus,85
COLUMBIA,019,TODO,Columbia Co. Health Dept.,85
DECATUR,513,TODO,Kirbo Center,85
DOUGHERTY,18,TODO,Bill Miller Community Center,85
DOUGHERTY,07,TODO,ASU West Campus,85
DOUGHERTY,26,TODO,Lamar Reese Elementary School,85
EFFINGHAM,3D,TODO,3E,85
EFFINGHAM,5C,TODO,5D,85
GILMER,12,TODO,Roy Road,85
GLYNN,5943,TODO,ARCO,85
GLYNN,3713,TODO,COG,85
GLYNN,5913,TODO,CPM,85
GLYNN,2933,TODO,CSSI,85
GLYNN,5923,TODO,HCP,85
GLYNN,3733,TODO,GICCA,85
GLYNN,1923,TODO,BRK,85
GLYNN,4913,TODO,BAL,85
GLYNN,3743,TODO,NGLY,85
GLYNN,4923,TODO,NSB,85
GLYNN,2713,TODO,NSSI,85
GLYNN,1713,TODO,SES,85
GLYNN,2943,TODO,SSSI,85
GLYNN,4933,TODO,THE,85
GLYNN,1943,TODO,BLY,85
GLYNN,2953,TODO,JI,85
GLYNN,3723,TODO,SEB,85
GLYNN,5933,TODO,UPP,85
HOUSTON,RECR,TODO,WELL,85
HOUSTON,NSES,TODO,NHSC,85
LIBERTY,4,TODO,Victory Baptist,85
LIBERTY,5,TODO,Performing Arts CTR,85
LIBERTY,9,TODO,Progressive Church,85
MORGAN,01,1. NORTHEAST MORGAN,Rec Dept,100
MORGAN,02,2. EAST MORGAN,Centennial,100
MORGAN,03,3. BETH/SPRINGFIELD,Gibbs,100
MORGAN,04,4. CENTRAL MORGAN,DFACS,100
MORGAN,05,5. CLACKS CHAPEL,Buckhead,100
MUSCOGEE,106,TODO,Chattahoochee,50
MUSCOGEE,103,TODO,Shirley Winston,50
MUSCOGEE,108,TODO,Central,50
MCDUFFIE,131,131,Depot,100
MCDUFFIE,132,132,NMcDuffie,100
MCDUFFIE,133A,133A,Fort Creek,100
MCDUFFIE,133B,133B,Dearing,100
MCDUFFIE,134,134,Cedar Rock,20
MCDUFFIE,135,135,Sweetwater,100
MCDUFFIE,136,136,White Oak,100
SUMTER,C2-27,TODO,JROTC,85
WHITE,,ROBERTSTOWN,Robertstown-Helen,100
TIFT,01,TODO,Tifton NE,85
SUMTER,C2-27,TODO,JROTC,85
PAULDING,0013B,TODO,Nebo Elem School,85
PAULDING,0018C,TODO,East Paulding Middle Sch,85